1558881153981, 1558881153981, 0, 49, 49
1558881154002, 1558881154315, 313, 1, 314
1558881155006, 1558881155040, 34, 4, 38
1558881156002, 1558881156028, 26, 1, 27
1558881157004, 1558881157074, 70, 3, 73
1558881158005, 1558881158061, 56, 5, 61
1558881159006, 1558881159081, 75, 4, 79
1558881160005, 1558881160041, 36, 3, 39
1558881161005, 1558881161083, 78, 4, 82
1558881162002, 1558881162070, 68, 2, 70
1558881163003, 1558881163100, 97, 1, 98
1558881164013, 1558881164050, 37, 12, 49
1558881165004, 1558881165050, 46, 3, 49
1558881166002, 1558881166014, 12, 1, 13
1558881167005, 1558881167059, 54, 3, 57
1558881168005, 1558881168021, 16, 2, 18
1558881169005, 1558881169080, 75, 4, 79
1558881170008, 1558881170119, 111, 6, 117
1558881171004, 1558881171051, 47, 2, 49
1558881172003, 1558881172017, 14, 2, 16
1558881173005, 1558881173022, 17, 3, 20
1558881174002, 1558881174025, 23, 1, 24
1558881175003, 1558881175033, 30, 2, 32
1558881176006, 1558881176013, 7, 4, 11
1558881177004, 1558881177052, 48, 3, 51
1558881178003, 1558881178030, 27, 2, 29
1558881179004, 1558881179046, 42, 2, 44
1558881180004, 1558881180020, 16, 3, 19
1558881181002, 1558881181078, 76, 2, 78
1558881182004, 1558881182048, 44, 3, 47
1558881183004, 1558881183051, 47, 3, 50
1558881184004, 1558881184059, 55, 2, 57
1558881185003, 1558881185100, 97, 2, 99
1558881323056, 1558881323056, 0, 51, 51
1558881323058, 1558881323323, 265, 1, 266
1558881324007, 1558881324028, 21, 4, 25
1558881325004, 1558881325062, 58, 3, 61
1558881326009, 1558881326065, 56, 8, 64
1558881327005, 1558881327051, 46, 2, 48
1558881328005, 1558881328020, 15, 3, 18
1558881329002, 1558881329093, 91, 2, 93
1558881330005, 1558881330076, 71, 3, 74
1558881331005, 1558881331062, 57, 3, 60
1558881332004, 1558881332032, 28, 2, 30
1558881333005, 1558881333056, 51, 4, 55
1558881334003, 1558881334072, 69, 2, 71
1558881335002, 1558881335036, 34, 1, 35
1558881336002, 1558881336053, 51, 1, 52
1558881337006, 1558881337090, 84, 4, 88
1558881338004, 1558881338048, 44, 3, 47
1558881339006, 1558881339074, 68, 2, 70
1558881340003, 1558881340073, 70, 2, 72
1558881341001, 1558881341038, 37, 0, 37
1558881793846, 1558881793846, 0, 71, 71
1558881794002, 1558881794257, 255, 1, 256
1558881795006, 1558881795040, 34, 3, 37
1558881796007, 1558881796075, 68, 5, 73
1558881797006, 1558881797081, 75, 4, 79
1558881798005, 1558881798039, 34, 3, 37
1558881799007, 1558881799062, 55, 4, 59
1558881800005, 1558881800053, 48, 3, 51
1558881801008, 1558881801045, 37, 5, 42
1558881802002, 1558881802023, 21, 1, 22
1558881803005, 1558881803055, 50, 3, 53
1558881804005, 1558881804047, 42, 3, 45
1558881805004, 1558881805016, 12, 2, 14
1558881806005, 1558881806042, 37, 3, 40
1558881807005, 1558881807022, 17, 2, 19
1558881808006, 1558881808028, 22, 3, 25
1558881809005, 1558881809018, 13, 3, 16
1558881810005, 1558881810023, 18, 3, 21
1558881811005, 1558881811016, 11, 3, 14
1558881812004, 1558881812031, 27, 2, 29
1558881813005, 1558881813019, 14, 3, 17
1558881814004, 1558881814018, 14, 2, 16
1558881815005, 1558881815018, 13, 4, 17
1558881816005, 1558881816013, 8, 3, 11
1558881817005, 1558881817013, 8, 3, 11
1558881818004, 1558881818013, 9, 3, 12
1558881819004, 1558881819017, 13, 3, 16
1558881820004, 1558881820019, 15, 2, 17
1558881821004, 1558881821034, 30, 2, 32
1558881822004, 1558881822026, 22, 2, 24
1558881823004, 1558881823013, 9, 2, 11
1558881824004, 1558881824025, 21, 3, 24
1558881825003, 1558881825025, 22, 2, 24
